imageX,imageY,realX,realY
291.0,185.0,3500,5500
286.0,176.0,3500,6000
282.0,168.0,3500,6500
456.0,375.0,4000,1000
423.0,330.0,4000,1500
398.0,296.0,4000,2000
378.0,269.0,4000,2500
362.0,248.0,4000,3000
348.0,230.0,4000,3500
337.0,215.0,4000,4000
328.0,202.0,4000,4500
501.0,437.0,4000,500
320.0,191.0,4000,5000
313.0,182.0,4000,5500
307.0,173.0,4000,6000
301.0,166.0,4000,6500
609.0,476.0,4500,0
497.0,359.0,4500,1000
460.0,318.0,4500,1500
432.0,287.0,4500,2000
409.0,262.0,4500,2500
390.0,241.0,4500,3000
375.0,225.0,4500,3500
362.0,210.0,4500,4000
351.0,198.0,4500,4500
548.0,414.0,4500,500
342.0,188.0,4500,5000
334.0,179.0,4500,5500
326.0,171.0,4500,6000
320.0,164.0,4500,6500
638.0,454.0,5000,0
535.0,344.0,5000,1000
495.0,307.0,5000,1500
463.0,278.0,5000,2000
438.0,255.0,5000,2500
418.0,235.0,5000,3000
400.0,220.0,5000,3500
386.0,206.0,5000,4000
374.0,195.0,5000,4500
588.0,393.0,5000,500
363.0,185.0,5000,5000
353.0,176.0,5000,5500
345.0,168.0,5000,6000
338.0,162.0,5000,6500
23.0,461.0,500,1500
54.0,393.0,500,2000
76.0,343.0,500,2500
93.0,306.0,500,3000
107.0,277.0,500,3500
117.0,254.0,500,4000
126.0,235.0,500,4500
133.0,219.0,500,5000
139.0,206.0,500,5500
144.0,195.0,500,6000
149.0,185.0,500,6500
569.0,330.0,5500,1000
526.0,296.0,5500,1500
493.0,270.0,5500,2000
465.0,248.0,5500,2500
443.0,230.0,5500,3000
424.0,215.0,5500,3500
408.0,202.0,5500,4000
395.0,191.0,5500,4500
623.0,375.0,5500,500
383.0,182.0,5500,5000
372.0,173.0,5500,5500
363.0,166.0,5500,6000
355.0,159.0,5500,6500
600.0,318.0,6000,1000
555.0,287.0,6000,1500
520.0,262.0,6000,2000
491.0,242.0,6000,2500
467.0,225.0,6000,3000
447.0,211.0,6000,3500
430.0,199.0,6000,4000
415.0,188.0,6000,4500
638.0,356.0,6000,500
402.0,179.0,6000,5000
391.0,171.0,6000,5500
380.0,164.0,6000,6000
371.0,158.0,6000,6500
627.0,307.0,6500,1000
582.0,278.0,6500,1500
545.0,255.0,6500,2000
515.0,236.0,6500,2500
490.0,220.0,6500,3000
468.0,206.0,6500,3500
450.0,195.0,6500,4000
434.0,185.0,6500,4500
420.0,176.0,6500,5000
408.0,169.0,6500,5500
397.0,162.0,6500,6000
387.0,156.0,6500,6500
637.0,295.0,7000,1000
607.0,270.0,7000,1500
569.0,248.0,7000,2000
538.0,230.0,7000,2500
511.0,215.0,7000,3000
489.0,202.0,7000,3500
469.0,192.0,7000,4000
453.0,182.0,7000,4500
438.0,174.0,7000,5000
425.0,166.0,7000,5500
413.0,160.0,7000,6000
403.0,154.0,7000,6500
629.0,262.0,7500,1500
591.0,242.0,7500,2000
559.0,225.0,7500,2500
532.0,211.0,7500,3000
508.0,199.0,7500,3500
488.0,188.0,7500,4000
470.0,179.0,7500,4500
455.0,171.0,7500,5000
441.0,164.0,7500,5500
429.0,158.0,7500,6000
418.0,152.0,7500,6500
4.0,363.0,0,1500
37.0,321.0,0,2000
71.0,288.0,0,2500
98.0,262.0,0,3000
119.0,242.0,0,3500
136.0,225.0,0,4000
151.0,210.0,0,4500
163.0,198.0,0,5000
174.0,188.0,0,5500
183.0,179.0,0,6000
191.0,171.0,0,6500
55.0,423.0,1000,1000
96.0,364.0,1000,1500
127.0,320.0,1000,2000
150.0,288.0,1000,2500
167.0,262.0,1000,3000
182.0,241.0,1000,3500
194.0,224.0,1000,4000
204.0,210.0,1000,4500
212.0,198.0,1000,5000
